fn,pa_declare,cost_declare,handler_initial,fonction_commit_reel,categorie,pa_source,cout_source,payeur_caisse,cout_sur_echec,remarque
nommer_ambassadeur_cible,1,0,ouvrirModalNommerAmbassadeur,envoyerNotificationVraiJoueur,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
nommer_capitaine,2,0,ouvrirNommerCapitaine,accepterNominationCapitaine,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
nommer_commandant,2,0,ouvrirNommerCommandant,accepterNominationPosteNomme,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
nommer_commissaire,3,0,ouvrirModalNommerCommissaire,ouvrirModalNommerCommissaire,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
nommer_directeur_entrepot,3,0,ouvrirModalNommerDirecteurEntrepot,ouvrirModalNommerDirecteurEntrepot,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
nommer_directeur_pharma,3,0,ouvrirModalNommerDirecteurPharma,ouvrirModalNommerDirecteurPharma,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
nommer_directeur_raffinerie,3,0,ouvrirModalNommerDirecteurRaffinerie,ouvrirModalNommerDirecteurRaffinerie,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
nommer_directeur_tabac_alcools,3,0,ouvrirModalNommerDirecteurTabacAlcools,ouvrirModalNommerDirecteurTabacAlcools,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
nommer_juge,3,0,ouvrirModalNommerJuge,ouvrirModalNommerJuge,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
nommer_lieutenant,2,0,ouvrirNommerLieutenant,accepterNominationLieutenant,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
nommer_ministre,2,0,ouvrirModalNommerPM,ouvrirModalNommerPM,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
nommer_ministre_pm,2,0,ouvrirNommerMinistresModal,accepterNominationPosteNomme,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
objet_trouve,1,0,reclamerObjetTrouve,reclamerObjetTrouve,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
observer_debats,1,0,observerDebats,observerDebats,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
officialiser_mariage,2,200,ouvrirOfficialiserMariage,confirmerOfficialisationMariage,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
organiser_boycott,2,0,doOrganiserBoycott,doOrganiserBoycott,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
organiser_chasse_homme,3,300,doOrganiserChasseHomme,confirmerOrganiserChasseHomme,COMMIT DIFFERE,aucun (jamais preleve),institution,pays/buildingId,deterministe (pas de jet),
organiser_filature,2,150,doOrganiserFilature,confirmerOrganiserFilature,COMMIT DIFFERE,aucun (jamais preleve),institution,pays/buildingId,deterministe (pas de jet),
organiser_manifestation,2,0,doOrganiserManifestation,doOrganiserManifestation,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
organiser_reception_diplomatique,2,1200,doOrganiserReceptionDiplomatique,doOrganiserReceptionDiplomatique,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
ouvrir_ambassade,2,1000,ouvrirModalEmpireCible,executerOrdreEmpire (branche action===ouvrir_ambassade),COMMIT IMMEDIAT,aucun (jamais preleve),hardcode,PJ (state.arg),deterministe (pas de jet),DISPATCHEUR PARTAGE verifie manuellement -- trace auto correcte ici. state.arg -= 1000 hardcode (coincide avec data.js cost:1000 mais n'en provient pas). Aucun jet de reussite.
ouvrir_enquete,2,0,ouvrirChoixTypeCibleFiscale,"executerOrdreFiscalCible (branche action===ouvrir_enquete -- PAS confirmerSubventionMontant, trace auto erronee)",COUT INSTITUTIONNEL,aucun (jamais preleve),hardcode (cout=400),ministere (caisse 'gouvernement-min_just'),OUI (meme cout),"DISPATCHEUR PARTAGE verifie manuellement (meme bug de trace que redressement_fiscal). Cout institutionnel de 400 FR preleve AVANT le jet de reussite (90%) ; succes et echec ('classee sans suite') facturent le MEME montant -- cout sur echec = OUI. A verifier separement (hors perimetre) : debiterCaisseBatimentPlafonne peut rendre un montant partiel si la caisse est presque vide, et le code annule sans recrediter -- perte potentielle du reliquat deja preleve."
parier_match,1,0,doParierMatch,confirmerPariMatch,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
pelerin,2,0,doPelerin,doPelerin,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
plainte,1,0,ouvrirPorterPlainte,ouvrirPorterPlainte,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
plainte_obstruction_permis,1,0,doPlainteObstruction,doPlainteObstruction,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
plainte_police,1,0,openPlainteModal,soumettrePlaynte,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
postuler_president_club,2,0,doPostulerPresidentClub,doPostulerPresidentClub,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
preempter_entreprise,2,0,ouvrirPreemptionEntreprise,confirmerPreemption,COUT INSTITUTIONNEL,aucun (jamais preleve),institution,"pays (national, budgets_nationaux[pays].preemption -- pret d'Etat automatique)",sans objet (cout=0 ou jamais preleve),"Ordre du 8/8 (Ministre Finances). Commit reel = confirmerPreemption (cree le pret national + preemptionEtat='attente_acte' sur l'entreprise) ; la finalisation patrimoniale a lieu ensuite via acte_rachat_entreprise_preemption (voir cette ligne), au Notaire, SANS etape de compromis (design assume). PA(2) jamais preleve."
prendre_avion,3,250,ouvrirModalTransport,executerVoyage,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
prendre_bateau,4,100,ouvrirModalTransport,executerVoyage,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
prendre_bus_taxi,1,150,ouvrirModalTransport,executerVoyage,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
prendre_licence_sportive,1,300,doPrendreLicenceSportive,doPrendreLicenceSportive,COMMIT IMMEDIAT,aucun (jamais preleve),hardcode,PJ (state.arg),deterministe (pas de jet),
prendre_train,2,75,ouvrirModalTransport,executerVoyage,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
presenter_autorisation_coffre,1,0,doPresenterAutorisationCoffre,doPresenterAutorisationCoffre,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
prier,1,0,doPrier,doPrier,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
produire_alcool,1,0,doProduireUsine,confirmerProductionUsine,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
produire_carburant,1,0,doProduireUsine,confirmerProductionUsine,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
produire_fuite,3,0,ouvrirProduireFuite,confirmerFuite,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
produire_medicaments,1,0,doProduireUsine,confirmerProductionUsine,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
produire_tabac,1,0,doProduireUsine,confirmerProductionUsine,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
projet_loi,3,0,ouvrirDeposerProjet,closeForumView,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
propagande_etat,3,500,ouvrirForumNationalSousForumPresident,closeForumView,COMMIT DIFFERE,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
proposer_grace,2,0,ouvrirProposerGrace,confirmerPropositionGrace,COMMIT DIFFERE,aucun (jamais preleve),institution,pays/'gouvernement,sans objet (cout=0 ou jamais preleve),
proposer_transfert,2,0,doProposerTransfert,confirmerPropositionTransfert,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
proposer_treve,3,0,ouvrirProposerTreve,confirmerPropositionTreve,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
racheter_terrain,2,0,doRacheterTerrain,confirmerRachat,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
reception_etat,2,1000,doReceptionAvecBonus,doReceptionAvecBonus,COMMIT IMMEDIAT,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
receptionner_commande,1,0,ouvrirReceptionnerCommande,recupererColis,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
recherche_militaire,2,0,ouvrirRechercheMilitaire,confirmerRechercheMilitaire,COMMIT DIFFERE,aucun (jamais preleve),institution,pays/'caserne,sans objet (cout=0 ou jamais preleve),
recolter_matiere,2,0,doRecolterMatiere,confirmerRecolte,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
recruter_compagnie,3,0,doRecruterCompagnie,doRecruterCompagnie,COMMIT IMMEDIAT,aucun (jamais preleve),institution,pays/'caserne,sans objet (cout=0 ou jamais preleve),
recruter_etud,2,0,doRecruterMilitants,doRecruterMilitants,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
recruter_info_3,2,0,ouvrirRecruterInformateur,confirmerRecrutementInformateur,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
recruter_info_4,3,0,ouvrirRecruterInformateur,confirmerRecrutementInformateur,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
recruter_informateur_2,1,400,consulterInformateur,consulterInformateur,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
recruter_informateur_3,1,700,consulterInformateur,consulterInformateur,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
recruter_informateur_pnj,1,150,doRecruterInformateurPNJ,doRecruterInformateurPNJ,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
recruter_section,2,0,ouvrirRecruterSection,doRecruterSection,COMMIT DIFFERE,aucun (jamais preleve),institution,pays/'caserne,sans objet (cout=0 ou jamais preleve),
redressement_fiscal,2,0,ouvrirChoixTypeCibleFiscale,"executerOrdreFiscalCible (branche action===redressement_fiscal -- PAS confirmerSubventionMontant, trace auto erronee)",COMMIT IMMEDIAT,aucun (jamais preleve),hardcode (montantVise=2000),"cible (preleve SUR la cible, credite a l'Etat)",sans objet (cout=0 ou jamais preleve),"DISPATCHEUR PARTAGE verifie manuellement. Trace automatique faussee par contamination inter-branches (executerOrdreFiscalCible traite aussi subvention/ouvrir_enquete ; regex corps-entier remonte confirmerSubventionMontant d'une autre branche). Reel : commit immediat au clic sur la cible, montant hardcode 2000 preleve VIA ajusterSoldeCibleFiscale (plafonne au solde reel de la cible), credite a budgetNat.reserveJour. Deux implementations paralleles dans le repo : celle-ci (vivante, via ouvrirChoixTypeCibleFiscale) et executerOrdreContact (MORTE, jamais atteinte pour ce fn)."
regarder_live,1,0,doRegarderLive,afficherLiveMatch,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
rejoindre_club_supporters,1,150,doRejoindreClubSupporters,doRejoindreClubSupporters,COMMIT IMMEDIAT,aucun (jamais preleve),hardcode,PJ (state.arg),deterministe (pas de jet),
remonter_renseignement,1,0,ouvrirRemonterRenseignement,confirmerRemonteeRenseignement,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
rendre_sentence,2,0,ouvrirRendreSentence,appliquerSentence,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
renseignement,3,500,ouvrirModalRenseignement,confirmerRenseignement,COMMIT DIFFERE,aucun (jamais preleve),institution,pays/'caserne,deterministe (pas de jet),
repartition_budget_local,2,0,doRepartirBudgetMunicipal,confirmerRepartitionBudget,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
reponses_diplomatiques,1,0,ouvrirReponsesDiplomatiques,executerOrdreEmpire,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
reprimer_manif,3,0,ouvrirReprimerManif,confirmerReprimerManif,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),"Ordre du 8/8 (Ministre Interieur), meme exception. Malus -10 VOL / -10 HP sur les PJ presents recalibre le 8/8 (etait -1 initialement). PA(3) jamais preleve."
requete_avocat,1,0,doRequeteAvocat,confirmerRequeteAvocat,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
requisition_civile,3,0,ouvrirRequisitionCivile,confirmerRequisitionCivile,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
reserver_chambre_hotel,1,80,doReserverChambreHotel,doReserverChambreHotel,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
reserver_salle_reception,1,0,doReserverSalleReception,doReserverSalleReception,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
revoquer_commissaire,1,0,ouvrirModalRevoquerCommissaire,ouvrirModalRevoquerCommissaire,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
revoquer_directeur_entrepot,1,0,ouvrirModalRevoquerDirecteurEntrepot,ouvrirModalRevoquerDirecteurEntrepot,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
revoquer_juge,1,0,ouvrirModalRevoquerJuge,ouvrirModalRevoquerJuge,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
revoquer_ministre_pm,1,0,ouvrirModalRevoquerMinistre,confirmerRevocationPosteNomme,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
revoquer_pm,1,0,ouvrirModalRevoquerPM,ouvrirModalRevoquerPM,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
sanctions_diplo,3,0,ouvrirModalEmpireCible,executerOrdreEmpire (branche action===sanctions),COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),"DISPATCHEUR PARTAGE verifie manuellement -- trace auto correcte ici. Aucun cout (coherent). Effet aleatoire (3-10 ID) mais toujours applique, pas de condition d'echec."
se_confesser,2,0,doSeConfeser,doSeConfeser,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
se_former,2,100,doSeFormer,doSeFormer,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
se_justifier,2,0,doSeJustifier,confirmerSeJustifier,COMMIT DIFFERE,hardcode,N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),Deduction PA reelle mais hardcodee (state.pa -= 2 au lieu de lire data.js). A migrer.
se_nourrir,1,30,doSeReposer,doSeReposer,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
se_presenter_affectation,1,0,doSePresenterAffectation,doSePresenterAffectation,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
se_rebeller,2,0,doSeRebeller,doSeRebeller,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
service_etage,0,150,doServiceEtage,doServiceEtage,COMMIT IMMEDIAT,N/A,variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),Cas particulier positif : `const cout = ordre?.cost || 150` lit dynamiquement le cout depuis la definition de la salle elle-meme (data.js) quand le joueur y est physiquement -- fallback 150 hardcode seulement si la lecture echoue. Modele a suivre pour la primitive centralisee.
signer_compromis,2,1000,doSignerCompromis,doConfirmerCompromis,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
signer_traite,3,0,ouvrirModalTraite,proposerTraite,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
sinscrire_demandeur_emploi,1,0,doInscrireDemandeurEmploi,doInscrireDemandeurEmploi,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
sponsoriser_club,1,0,doSponsoriserClub,confirmerSponsoring,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
stage_caserne,3,0,doStageCaserne,doStageCaserne,COMMIT IMMEDIAT,hardcode,N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),"Seul ordre du lot du 8/8 a explicitement implementer sa propre deduction PA (state.pa -= 3, hardcode car pas d'acces direct a data.js dans ce handler). A migrer vers la source de verite au meme titre que les 7 ordres 'corrects' historiques."
subvention,2,0,ouvrirChoixTypeCibleFiscale,confirmerSubventionMontant (ce hop est correct),COUT DYNAMIQUE,aucun (jamais preleve),"dynamique (saisie utilisateur 1-5000, PAS le cost:0 de data.js)",ministere (caisse 'gouvernement-min_fin'),OUI (meme cout),"DISPATCHEUR PARTAGE verifie manuellement. Categorie primaire = COUT DYNAMIQUE (montant choisi par le joueur, plafond 5000 hardcode). Particularites secondaires : COMMIT DIFFERE (4 etapes) + COMMIT CONDITIONNEL (annule si caisse gouvernement-min_fin insuffisante)."
subvention_min_int,1,0,ouvrirModalFinancerMinInt,confirmerSubventionMinInt,COMMIT DIFFERE,aucun (jamais preleve),institution,state.country/buildingId,sans objet (cout=0 ou jamais preleve),
taxi_caserne,1,200,doTaxiSpecial,doTaxiSpecial,COMMIT IMMEDIAT,aucun (jamais preleve),hardcode,PJ (state.arg),deterministe (pas de jet),
taxi_qhs,1,200,doTaxiSpecial,doTaxiSpecial,COMMIT IMMEDIAT,aucun (jamais preleve),hardcode,PJ (state.arg),deterministe (pas de jet),
tentative_evasion,3,0,doTentativeEvasion,doTentativeEvasion,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
tenue_entrainement,2,0,doTenueEntrainement,confirmerEntrainement,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
traiter_demandes_permis,1,0,doTraiterDemandesPermis,traiterPermis,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
traiter_engagements,1,0,ouvrirTraiterEngagements,confirmerAffectationCompagnie,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
traiter_manifestations,1,0,doTraiterManifestations,traiterDemandeManifestation,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
transferer_compromis,1,0,doOuvrirTransfertCompromis,doInitierTransfertCompromis,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
transfert_clinique_privee,0,1000,doTransfertCliniquePrivee,doTransfertCliniquePrivee,COMMIT IMMEDIAT,N/A,hardcode,PJ (state.arg),deterministe (pas de jet),"Deduction cout reelle mais hardcodee (-1000, au lieu de lire data.js). A migrer."
valider_transfert_compromis,1,0,doValiderTransfertCompromis,doAccepterTransfertCompromis,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
vendre_bois_imprimerie,1,0,ouvrirVendreBoisImprimerie,confirmerVendreBoisImprimerie,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
vente_directe_usine,1,0,doOuvrirVenteDirecteUsine,confirmerVenteDirecteUsine,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
visiter_prisonnier,1,0,doVisiterPrisonnier,doVisiterPrisonnier,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
voler_materiel_chantier,2,0,doVolerMaterielChantier,doVolerMaterielChantier,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
voter_loi,2,0,ouvrirVoteLoi,enregistrerVoteLoi,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
